codigo;designacao;pai;nivel;paginas_ocr_candidatas;evidencia_pendente
"35.1.4.3";"c/lucros";"35.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.4.4";"Empréstimos";"35.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2";"Entidades participadas";"35";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.1";"Estado";"35.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.1.1";"c/subscrição";"35.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.1.2";"c/adiantamentos sobre lucros";"35.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.1.3";"c/lucros";"35.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.1.4";"Empréstimos";"35.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.2";"Empresas do grupo – subsidiárias";"35.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.2.1";"c/subscrição";"35.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.2.2";"c/adiantamentos sobre lucros";"35.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.2.3";"c/lucros";"35.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.2.4";"Empréstimos";"35.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.3";"Empresas do grupo – associadas";"35.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.3.1";"c/subscrição";"35.2.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.3.2";"c/adiantamentos sobre lucros";"35.2.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.3.3";"c/lucros";"35.2.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.3.4";"Empréstimos";"35.2.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.4";"Outros";"35.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.4.1";"c/subscrição";"35.2.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.4.2";"c/adiantamentos sobre lucros";"35.2.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.4.3";"c/lucros";"35.2.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.2.4.4";"Empréstimos";"35.2.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36";"Pessoal";"3";"2";"13,45,47,71,73,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.1";"Pessoal – remunerações";"36";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.1.1";"Órgãos sociais";"36.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.1.2";"Empregados";"36.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.2";"Pessoal – participação nos resultados";"36";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.2.1";"Órgãos sociais";"36.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.2.2";"Empregados";"36.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.3";"Pessoal – adiantamentos";"36";"3";"72";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"36.9";"Pessoal – outros";"36";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37";"Outros valores a receber e a pagar";"3";"2";"45,47,72,73,82";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.1";"Compras de imobilizado";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.1.1";"Corpóreo";"37.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.1.2";"Incorpóreo";"37.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.1.3";"Financeiro";"37.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.2";"Vendas de imobilizado";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.2.1";"Corpóreo";"37.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.2.2";"Incorpóreo";"37.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.2.3";"Financeiro";"37.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.3";"Proveitos a facturar";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.3.1";"Vendas";"37.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.3.2";"Prestações de serviço";"37.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.3.3";"Juros";"37.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.4";"Encargos a repartir por períodos futuros";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.4.1";"Descontos de emissão de obrigações";"37.4";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.4.2";"Descontos de emissão de títulos de participação";"37.4";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.5";"Encargos a pagar";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.5.1";"Remunerações";"37.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.5.2";"Juros";"37.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.6";"Proveitos a repartir por períodos futuros";"37";"3";"47";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.6.1";"Prémios de emissão de obrigações";"37.6";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.6.2";"Prémios de emissão de títulos de participação";"37.6";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.6.3";"Subsídios para investimento";"37.6";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.6.4";"Diferenças de câmbio favoráveis reversíveis";"37.6";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.7";"Contas transitórias";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.7.1";"Transacções entre a sede e as dependências da empresa";"37.7";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"37.9";"Outros valores a receber e a pagar";"37";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38";"Provisões para cobranças duvidosas";"3";"2";"45,48,73";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1";"Provisões para clientes";"38";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.1";"Clientes – correntes";"38.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.1.1";"Grupo";"38.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.1.2";"Não grupo";"38.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.2";"Cliente – títulos a receber";"38.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.2.1";"Grupo";"38.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.2.2";"Não grupo";"38.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.3";"Clientes – cobrança duvidosa";"38.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.3.1";"Grupo";"38.1.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.1.3.2";"Não grupo";"38.1.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.2";"Provisões para saldos devedores de fornecedores";"38";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.3";"Provisões p/participantes e participadas";"38";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.3.1";"Participantes";"38.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.3.2";"Participadas";"38.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.4";"Provisões p/dívidas do pessoal";"38";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.9";"Provisões para outros saldos a receber";"38";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"38.9.1";"Vendas imobilizado";"38.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"39";"Provisões para outros riscos e encargos";"3";"2";"13,45,48,55,73,92";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"39.1";"Provisões para pensões";"39";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"39.2";"Provisões para processos judiciais em curso";"39";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"39.3";"Provisões para acidentes de trabalho";"39";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"39.4";"Provisões para garantias dadas a clientes";"39";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"39.9";"Provisões para outros riscos e encargos";"39";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41";"Títulos negociáveis";"4";"2";"16,41,48,49,52,57,74";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.1";"Acções";"41";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.1.1";"Empresas do grupo";"41.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.1.2";"Associadas";"41.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.1.3";"Outras empresas";"41.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.2";"Obrigações";"41";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.2.1";"Empresas do grupo";"41.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.2.2";"Associadas";"41.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.2.3";"Outras empresas";"41.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"41.3";"Títulos da dívida pública";"41";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42";"Depósitos a prazo";"4";"2";"13,16,26,48,49,55,62,74";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42.1";"Moeda nacional";"42";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42.1.1";"Banco ___";"42.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42.1.2";"Banco ___";"42.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42.2";"Moeda estrangeira";"42";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42.2.1";"Banco ___";"42.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"42.2.2";"Banco ___";"42.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43";"Depósitos à ordem";"4";"2";"13,27,48,49,74,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43.1";"Moeda nacional";"43";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43.1.1";"Banco ___";"43.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43.1.2";"Banco ___";"43.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43.2";"Moeda estrangeira";"43";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43.2.1";"Banco ___";"43.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"43.2.2";"Banco ___";"43.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44";"Outros depósitos";"4";"2";"13,16,32,48,49,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44.1";"Moeda nacional";"44";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44.1.1";"Banco ___";"44.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44.1.2";"Banco ___";"44.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44.2";"Moeda estrangeira";"44";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44.2.1";"Banco ___";"44.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"44.2.2";"Banco ___";"44.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"45.1";"Fundo fixo";"45";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"45.1.1";"Caixa ___";"45.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"45.1.2";"Caixa ___";"45.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"45.2";"Valores para depositar";"45";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"45.3";"Valores destinados a pagamentos específicos";"45";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"45.3.1";"Salários";"45.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"48";"Conta transitória";"4";"2";"13,48,49,75";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"48.1";"Banco ___";"48";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"48.2";"Banco ___";"48";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"49";"Provisões para aplicações de tesouraria";"4";"2";"13,48,50,75";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"49.1";"Títulos negociáveis";"49";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"49.1.1";"Acções";"49.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"49.1.2";"Obrigações";"49.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"49.1.3";"Títulos da dívida pública";"49.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"49.2";"Outras aplicações de tesouraria";"49";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"5";"Capital e reservas";"";"1";"1,2,4,9,12,16,17,19";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"51";"Capital";"5";"2";"71";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"52";"Acções/quotas próprias";"5";"2";"1,3,5,7,9,11,13,15";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"52.1";"Valor nominal";"52";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"52.2";"Descontos";"52";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"52.3";"Prémios";"52";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"53";"Prémios de emissão";"5";"2";"50,52,76";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"54";"Prestações suplementares";"5";"2";"50,76";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"55";"Reservas legais";"5";"2";"50,76";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56";"Reservas de reavaliação";"5";"2";"50,76";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56.1";"Legais";"56";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56.1.1";"Decreto-Lei n.º ___";"56.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56.1.2";"Decreto-Lei n.º ___";"56.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56.2";"Autónomas";"56";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56.2.1";"Avaliação";"56.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"56.2.2";"Realização";"56.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"57";"Reservas com fins especiais";"5";"2";"50,77";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"58";"Reservas livres";"5";"2";"50,76";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.1";"Produtos acabados e intermédios";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.1.1";"Mercado nacional";"61.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.1.2";"Mercado estrangeiro";"61.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.2";"Sub-produtos, desperdícios, resíduos e refugos";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.2.1";"Mercado nacional";"61.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.2.2";"Mercado estrangeiro";"61.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.3";"Mercadorias";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.3.1";"Mercado nacional";"61.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.3.2";"Mercado estrangeiro";"61.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.4";"Embalagens de consumo";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.4.1";"Mercado nacional";"61.4";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.4.2";"Mercado estrangeiro";"61.4";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.5";"Subsídios a preços";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.7";"Devoluções";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.7.1";"Mercado nacional";"61.7";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.7.2";"Mercado estrangeiro";"61.7";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.8";"Descontos e abatimentos";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.8.1";"Mercado nacional";"61.8";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.8.2";"Mercado estrangeiro";"61.8";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"61.9";"Transferência para resultados operacionais";"61";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62";"Prestações de serviço";"6";"2";"18,50,51,56,65,80";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.1";"Serviços principais";"62";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.1.1";"Mercado nacional";"62.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.1.2";"Mercado estrangeiro";"62.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.2";"Serviços secundários";"62";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.2.1";"Mercado nacional";"62.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.2.2";"Mercado estrangeiro";"62.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.8";"Descontos e abatimentos";"62";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.8.1";"Mercado nacional";"62.8";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.8.2";"Mercado estrangeiro";"62.8";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"62.9";"Transferência para resultados operacionais";"62";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63";"Outros proveitos operacionais";"6";"2";"18,50,51,73,81,82";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.1";"Serviços suplementares";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.1.1";"Aluguer de equipamento";"63.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.1.2";"Cedência de pessoal";"63.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.1.3";"Cedência de energia";"63.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.1.4";"Estudos, projectos e assistência técnica";"63.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.2";"Royalties";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.3";"Subsídios à exploração";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.4";"Subsídios a investimento";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.5";"IVA";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.8";"Outros proveitos e ganhos operacionais";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"63.9";"Transferência para resultados operacionais";"63";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"64";"Variação nos inventários de produtos acabados e de produção em curso";"6";"2";"18,51,82";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"64.1";"Produtos e trabalhos em curso";"64";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"64.2";"Produtos acabados";"64";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"64.3";"Produtos intermédios";"64";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"64.9";"Transferência para resultados operacionais";"64";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65";"Trabalhos para a própria empresa";"6";"2";"50,51,82,88";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.1";"Para imobilizado";"65";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.1.1";"Corpóreo";"65.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.1.2";"Incorpóreo";"65.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.1.3";"Financeiro";"65.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.1.4";"Em curso";"65.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.2";"Para encargos a repartir por exercícios futuros";"65";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"65.9";"Transferência para resultados operacionais";"65";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66";"Proveitos e ganhos financeiros gerais";"6";"2";"50,51,52,82,83,88,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1";"Juros";"66";"3";"52";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.1";"De investimentos financeiros";"66.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.1.1";"Obrigações";"66.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.1.3";"Títulos de participação";"66.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.1.4";"Empréstimos";"66.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.1.9";"Outros";"66.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.2";"De mora relativos a dívidas de terceiros";"66.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.2.1";"Dívidas recebidas a prestações";"66.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.2.2";"De empréstimos a terceiros";"66.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.4";"Desconto de títulos";"66.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.1.5";"De aplicações de tesouraria";"66.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.2";"Diferenças de câmbio favoráveis";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.2.1";"Realizadas";"66.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.2.2";"Não realizadas";"66.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.3";"Descontos de pronto pagamento obtidos";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.4";"Rendimentos de investimentos em imóveis";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.5";"Rendimento de participações de capital";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.5.1";"Acções, quotas em outras empresas";"66.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.5.2";"Acções, quotas incluídas nos fundos";"66.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.5.3";"Acções, quotas incluídas nos títulos negociáveis";"66.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6";"Ganhos na alienação de aplicações financeiras";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1";"Investimentos financeiros";"66.6";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1.1";"Subsidiárias";"66.6.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1.2";"Associadas";"66.6.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1.3";"Outras empresas";"66.6.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1.4";"Imóveis";"66.6.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1.5";"Fundos";"66.6.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.1.9";"Outros investimentos";"66.6.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.6.2";"Títulos negociáveis";"66.6";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7";"Reposição de provisões";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.1";"Investimentos financeiros";"66.7";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.1.1";"Subsidiárias";"66.7.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.1.2";"Associadas";"66.7.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.1.3";"Outras empresas";"66.7.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.1.4";"Fundos";"66.7.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.1.9";"Outros investimentos";"66.7.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.2";"Aplicações de tesouraria";"66.7";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.2.1";"Títulos negociáveis";"66.7.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.2.2";"Depósitos a prazo";"66.7.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.2.3";"Outros depósitos";"66.7.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.7.2.9";"Outros investimentos";"66.7.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"66.9";"Transferência para resultados financeiros";"66";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"67";"Proveitos e ganhos financeiros em filiais e associadas";"6";"2";"52,83,88";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"67.1";"Rendimento de participações de capital";"67";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
